NO,KELURAHAN,KECAMATAN,KABUPATEN,OBJECT,MERK,JENIS,DP NET,TENOR,f_cluster
3703,PASIRLANGU,CISARUA,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI CBS ISS,1900000,35,2
3707,SUKASARI,GUNUNG HALU,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 125ESP CBS ISS,2900000,35,2
3712,MANDALASARI,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,5300000,35,2
3715,CITATAH,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW VIXION,2700000,35,2
3729,BONGAS,CILILIN,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,NEW NINJA 150 RR,8400000,35,2
3733,SUKAJAYA,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,4000000,35,2
3738,CIJENUK,CIPONGKOR,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 125 ESPCBS ISS,3179506,33,2
3741,CIHANJUANG,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,SUZUKI,SATRIA FU 150,3229834,29,2
3746,SARIJADI,SUKASARI,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,AEROX 155 VVA S,5024606,31,2
3750,CIBURUY,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,AEROX 155 VVA R,3753610,35,2
3751,CIPADA,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW VIXION,2719587,31,2
3753,MANDALAMUKTI,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,NEW NINJA 150 RR SE,4695876,27,2
3754,CIPTAHARJA,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW V-IXION(KS),3701880,32,2
3755,PASIRLANGU,CISARUA,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI CBS ISS,3207551,25,2
3756,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,FINO GRANDE 125,3950000,35,2
3759,CIKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 125ESP CBS ISS,3114658,28,2
3764,SINGAJAYA,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,X - RIDE,2354520,23,2
3765,CINENGAH,RONGGA,BANDUNG BARAT,MOTOR BEKAS,HONDA,SUPRA X 125 CW,2251520,23,2
3766,RENDE,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NMAX ABS,9189772,22,2
3768,WANGUNJAYA,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT CW FI,4002780,21,2
3772,CIPADA,CIKALONG WETAN,KAB. BANDUNG,MOTOR BEKAS,YAMAHA,N-MAX,5900360,35,2
3774,CINENGAH,RONGGA,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,NINJA 150 VR,6044636,23,2
3775,MEKARSARI,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,SCOOPY ESP,5263240,23,2
3776,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT CW FI,1285900,23,2
3777,CIGUGUR TENGAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,3498300,23,2
3778,BOJONG,RONGGA,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2778340,35,2
