NO,KELURAHAN,KECAMATAN,KABUPATEN,OBJECT,MERK,JENIS,DP NET,TENOR,f_cluster
2,SARIWANGI,PARONGPONG,KAB. BANDUNG,MOTOR BEKAS,KAWASAKI,NINJA ZX 6R ABS,74000000,12,1
3,UTAMA,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,5000000,27,1
5,CIMAREME,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,KAWASAKI,D-TRACKER 150 SE,4000000,35,1
6,CIGUGUR GIRANG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 CON,10000000,17,1
8,TENJOLAUT,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,NEW SCOOPY STYLISH,3400000,33,1
9,CIPAGERAN,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,YAMAHA,GEAR 125 S-VERSION,2800000,35,1
10,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,4500000,22,1
11,LEBAK GEDE,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3000000,22,1
16,CIGUGUR TENGAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,GENIO ISS,3200000,33,1
18,WANGUNSARI,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,3300000,35,1
19,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2300000,33,1
20,CIKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CW,3721588,25,1
23,CIKOLE,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,5800000,35,1
24,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3400000,35,1
26,CIKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,MIO M3 125,3312310,26,1
27,KARYAWANGI,PARONGPONG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,7000000,35,1
30,CIMAREME,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,YAMAHA,FREEGO,7000000,35,1
31,CIWARUGA,PARONGPONG,BANDUNG BARAT,MOTOR BARU,KAWASAKI,W175 TR SE,9800000,35,1
32,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,GENIO CBS,2700000,35,1
33,ISOLA,SUKASARI,KOTA BANDUNG,MOTOR BARU,YAMAHA,AEROX 155 VVA,3800000,34,1
34,SUKAWARNA,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CW,3443853,26,1
35,PAGERWANGI,LEMBANG,KAB. BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2900000,35,1
38,SUKAGALIH,SUKAJADI,KOTA BANDUNG,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,6000000,23,1
40,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,NEW SCOOPY STYLISH,4600000,23,1
45,PADASUKA,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT FI SPORTY CW,2301527,28,1
46,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,7403172,19,1
48,SUKAWARNA,SUKAJADI,KOTA BANDUNG,MOTOR BARU,KAWASAKI,KLX 150 BF SE EXT,14436809,20,1
50,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,VARIO 125ESP CBS ISS,5545699,24,1
52,CIBOGO,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,3550000,33,1
55,CIWARUGA,PARONGPONG,BANDUNG BARAT,MOTOR BARU,YAMAHA,N-MAX,5700000,35,1
56,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,6200000,35,1
