NO,KELURAHAN,KECAMATAN,KABUPATEN,OBJECT,MERK,JENIS,DP NET,TENOR,f_cluster
1404,CIRAWAMEKAR,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,AEROX 155 GP,4100000,17,1
1405,SARIWANGI,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,3900000,17,1
1406,CICANGKANG HILIR,CIPONGKOR,BANDUNG BARAT,MOTOR BARU,HONDA,VARIO 125 CBS ISS,5000000,29,1
1407,MARGAJAYA,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW BEAT STREET ESP,3700000,17,1
1408,MANDALASARI,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,HONDA,SONIC 150 R,1700000,29,1
1409,GUDANGKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,5300000,29,2
1410,SUNTENJAYA,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,JUPITER Z1 CW,2000000,11,1
1411,CIROYOM,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,4600000,11,2
1412,DAGO,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,NEW BEAT STREET ESP,3725000,29,1
1413,GUNUNGMASIGIT,CIPATAT,BANDUNG BARAT,MOTOR BARU,HONDA,NEW SCOOPY SPORTY,3200000,23,2
1414,NEGLASARI,CIPONGKOR,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 CON,8000000,29,2
1415,CIMERANG,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,CRF 150 L,10700000,17,1
1416,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2800000,22,2
1417,DAGO,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2100000,35,2
1418,JAMBUDIPA,CISARUA,KAB. BANDUNG,MOTOR BARU,KAWASAKI,NINJA ZX 25 R,30000000,35,2
1419,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BARU,YAMAHA,NEW AEROX 155 C,5400000,23,2
1420,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,ALL NEW R15 155 VVA,7700000,17,1
1421,CIPEUNDEUY,PADALARANG,BANDUNG BARAT,MOTOR BARU,PIAGGIO,PRIMAVERA S 150 ABS,20000000,33,2
1422,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,ALN VARIO 160 CBS,6500000,33,2
1423,SELACAU,BATUJAJAR,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW AEROX 155 C ABS,2800000,35,1
1424,CIMAREME,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2800000,22,2
1425,GUNUNGMASIGIT,CIPATAT,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,2800000,32,1
1426,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BARU,YAMAHA,GEAR 125,3700000,29,2
1427,KERTAJAYA,PADALARANG,BANDUNG BARAT,MOTOR BARU,KAWASAKI,NINJA ZX 25 R ABS,30700000,23,2
1428,SARIJADI,SUKASARI,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,1800000,11,1
1429,PASIRHALANG,CISARUA,KAB. BANDUNG,MOTOR BARU,YAMAHA,MIO M3 125,2700000,35,2
1430,JAMBUDIPA,CISARUA,KAB. BANDUNG,MOTOR BARU,KAWASAKI,NINJA 250,9000000,29,2
1431,PADASUKA,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,AEROX 155 VVA R,2900000,29,2
1432,TAGOGAPU,PADALARANG,BANDUNG BARAT,MOTOR BARU,KAWASAKI,D-TRACKER 150 SE,5200000,23,2
1433,TANJUNG WANGI,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,NINJA 150 VR,3400000,35,1
1434,SIRNARAJA,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,HONDA,NBEAT FI CW + SPORTY,3650000,35,2
1435,PADALARANG,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW VARIO TECHNO CBS,1500000,35,1
1436,CIBEDUG,RONGGA,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT CW,3000000,35,1
1437,BOJONGSALAM,RONGGA,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 150 ESP SPORTY,5500000,35,1
1438,BATUJAJAR BARAT,BATUJAJAR,BANDUNG BARAT,MOTOR BARU,YAMAHA,FREEGO,3400000,35,2
1439,TAGOGAPU,PADALARANG,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,2600000,35,2
1440,BOJONG,RONGGA,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CW,2000000,35,2
1441,PAKUHAJI,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,1800000,35,2
1442,CIMAHI TENGAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT CW FI,4000000,35,2
1443,CIMANGGU,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,CB 150 R STREETFIRE,4400000,35,2
1444,SAGULING,SAGULING,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CW,2500000,35,2
1445,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,GENIO ISS,2300000,33,2
1446,CITAPEN,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,5975000,35,1
1447,MEKARMUKTI,CIHAMPELAS,BANDUNG BARAT,MOTOR BARU,YAMAHA,N-MAX,5300000,35,2
1448,CIPTAGUMATI,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,2700000,35,2
1449,CIPEUNDEUY,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FISPORTY CW ESP,4700000,33,2
1450,CILAME,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,YAMAHA,LEXI S,3000000,35,2
1451,MANDALAMUKTI,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,YAMAHA,N-MAX,4500000,35,2
1452,CILAME,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,YAMAHA,NMAX ABS,4000000,35,2
1453,JAYAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,3000000,35,2
1454,RAJAMANDALA KULON,CIPATAT,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CW,2900000,35,2
1455,GADOBANGKONG,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,X - RIDE,2200000,35,1
1456,JAYAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,KLX 150 G,4800000,35,1
1457,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,NVARIO 125 ESP CBS,2200000,35,2
1458,BOJONGKONENG,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,2000000,35,2
1459,MUKAPAYUNG,CILILIN,BANDUNG BARAT,MOTOR BARU,HONDA,NEWBEATPESPCBSISSCOM,2700000,35,2
1460,PASIRKALIKI,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2400000,35,2
1461,CICADAS,RONGGA,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,ALL NEW VIXION,4000000,35,2
1462,MANDALASARI,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,3500000,35,2
1463,GALANGGANG,BATUJAJAR,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2700000,35,2
1464,CIHANJUANG RAHAYU,PARONGPONG,BANDUNG BARAT,MOTOR BARU,YAMAHA,NEW MIO M3 CW,3100000,35,2
1465,CIGUGUR TENGAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,VARIO 150 ESP SPORTY,2600000,35,2
1466,CILAME,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,1800000,35,2
1467,GALANGGANG,BATUJAJAR,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,867996,33,1
1468,CIMAHI,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,YAMAHA,FREEGO,2831407,29,2
1469,LEUWIGAJAH,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,CBR 150 REPSOL,5015289,25,1
1470,MANDALAMUKTI,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FISPORTY CW ESP,2597815,27,2
1471,CIROYOM,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,YAMAHA,NMAX ABS,6993520,29,2
1472,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT FI SPORTY CW,1690323,30,2
1473,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FI CBS ISS,2238171,26,1
1474,CIGUGUR TENGAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,YAMAHA,LEXI,2525745,31,2
1475,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT FI SPORTY CW,2486825,27,2
1476,JAYAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,2193679,28,1
1477,UTAMA,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,ADV 150 ABS,6486705,35,2
1478,MARGA LAKSANA,CIPEUNDEUY,BANDUNG BARAT,MOTOR BEKAS,HONDA,ABSOLUTE REVO CW,1967182,26,1
