NO,KELURAHAN,KECAMATAN,KABUPATEN,OBJECT,MERK,JENIS,DP NET,TENOR
1,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,NMAX ABS,5300000,29
2,SARIWANGI,PARONGPONG,KAB. BANDUNG,MOTOR BEKAS,KAWASAKI,NINJA ZX 6R ABS,74000000,12
3,UTAMA,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,5000000,27
4,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2800000,23
5,CIMAREME,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,KAWASAKI,D-TRACKER 150 SE,4000000,35
6,CIGUGUR GIRANG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 CON,10000000,17
7,SUKAJAYA,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,W175 SE,4900000,35
8,TENJOLAUT,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,NEW SCOOPY STYLISH,3400000,33
9,CIPAGERAN,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,YAMAHA,GEAR 125 S-VERSION,2800000,35
10,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,4500000,22
11,LEBAK GEDE,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3000000,22
12,CIBODAS,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,W 175 CAFE,3000000,17
13,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,4200000,23
14,CIKIDANG,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO110 CBS ISS,2300000,35
15,LEDENG,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT CW,1900000,35
16,CIGUGUR TENGAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,GENIO ISS,3200000,33
17,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,VARIO 125 ESP CBS,3350000,35
18,WANGUNSARI,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,3300000,35
19,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2300000,33
20,CIKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CW,3721588,25
21,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,HONDA,VARIO TECHNO 110,3268951,22
22,CIBOGO,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,BYSON,1246850,33
23,CIKOLE,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,5800000,35
24,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3400000,35
25,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,1586596,33
26,CIKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,MIO M3 125,3312310,26
27,KARYAWANGI,PARONGPONG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,7000000,35
28,LANGENSARI,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,ALL NEW BYSON F1,3200000,35
29,PASTEUR,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,N-MAX,10229720,35
30,CIMAREME,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,YAMAHA,FREEGO,7000000,35
31,CIWARUGA,PARONGPONG,BANDUNG BARAT,MOTOR BARU,KAWASAKI,W175 TR SE,9800000,35
32,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,GENIO CBS,2700000,35
33,ISOLA,SUKASARI,KOTA BANDUNG,MOTOR BARU,YAMAHA,AEROX 155 VVA,3800000,34
34,SUKAWARNA,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CW,3443853,26
35,PAGERWANGI,LEMBANG,KAB. BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2900000,35
36,DAGO,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,7525000,23
37,CIPAGERAN,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,NEW BEAT STREET ESP,5399742,20
38,SUKAGALIH,SUKAJADI,KOTA BANDUNG,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,6000000,23
39,SUKAGALIH,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,NVARIO 125 ESP CBS,5700000,29
40,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,NEW SCOOPY STYLISH,4600000,23
41,WANGUNHARJA,LEMBANG,KAB. BANDUNG,MOTOR BEKAS,SUZUKI,SATRIA FU150SCD2B,3100000,29
42,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,SCOOPY ESP,4850000,23
43,CIHIDEUNG,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,SUZUKI,SATRIA FU 150,2200000,23
44,SUKAGALIH,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2550000,23
45,PADASUKA,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT FI SPORTY CW,2301527,28
46,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,7403172,19
47,KARYAWANGI,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,XEON 125 CC,2330646,18
48,SUKAWARNA,SUKAJADI,KOTA BANDUNG,MOTOR BARU,KAWASAKI,KLX 150 BF SE EXT,14436809,20
49,SUKABUNGAH,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,N-MAX,5498983,30
50,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,VARIO 125ESP CBS ISS,5545699,24
51,PASTEUR,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,N-MAX,5150000,17
52,CIBOGO,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,3550000,33
53,CIHIDEUNG,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT CW FI,3200000,23
54,CIHANJUANG,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI CBS ISS,4200000,35
55,CIWARUGA,PARONGPONG,BANDUNG BARAT,MOTOR BARU,YAMAHA,N-MAX,5700000,35
56,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,6200000,35
57,LEDENG,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI POP CBS ISS,2632560,35
58,SUKABUNGAH,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,KAWASAKI,KLX 150 BF,8750000,23
59,DAGO,COBLONG,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,N-MAX,4900000,17
60,MELONG,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,MT 25,6700000,35
61,GUDANGKAHURIPAN,LEMBANG,KAB. BANDUNG,MOTOR BEKAS,YAMAHA,AEROX 155 VVA,4200000,23
62,CIPAGANTI,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,3600000,32
63,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BARU,PIAGGIO,PRIMAVERA S 150 ABS,20000000,33
64,LEMBANG,LEMBANG,BANDUNG BARAT,MOTOR BARU,PIAGGIO,SPRINT S I-GET150ABS,15000000,17
65,TANIMULYA,NGAMPRAH,KAB. BANDUNG,MOTOR BARU,KYMCO,LIKE 150 I,9000000,33
66,CIHIDEUNG,PARONGPONG,KAB. BANDUNG,MOTOR BARU,YAMAHA,WR 155 R,7600000,35
67,SUKABUNGAH,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,NEW VARIO CW FI,1750000,23
68,SETIAMANAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,HONDA,VARIO 150 ESP SPORTY,5960000,23
69,BAROS,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,VARIO 125 ESP CBS,3300000,35
70,CIKALONG,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2600000,35
71,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,1700000,35
72,MELONG,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2800000,22
73,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2600000,22
74,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,PIAGGIO,SPRINT I-GET 150,17500000,33
75,SUKAGALIH,SUKAJADI,KOTA BANDUNG,MOTOR BARU,PIAGGIO,SPRINT I-GET 150,10500000,33
76,SETIAMANAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 CON,4700000,29
77,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,ALL NEW XSR 155,6700000,23
78,CIHANJUANG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,YAMAHA,LEXI,4100000,35
79,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,1900000,35
80,SUKABUNGAH,SUKAJADI,KOTA BANDUNG,MOTOR BARU,YAMAHA,N-MAX,4900000,35
81,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI CBS ISS,2600000,35
82,CIKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,3700000,35
83,SUKARASA,SUKASARI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2550000,35
84,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BARU,KAWASAKI,KLX 150 G,6200000,35
85,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,PCX150,4000000,35
86,CIWARUGA,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,HONDA,CBR 150 R,5097140,35
87,CIKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,3000000,35
88,PASTEUR,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,4651891,29
89,CIGUGUR GIRANG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CW,2454716,29
90,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,SCOOPY ESP,4921668,29
91,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,1584297,27
92,JAMBUDIPA,CISARUA,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,2621748,32
93,CIPAGERAN,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT FI SPORTY CW,1223141,30
94,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,VARIO 125ESP CBS ISS,794434,34
95,KERTAWANGI,CISARUA,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CW,2212911,29
96,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,4500000,29
97,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT FI SPORTY CW,3690314,25
98,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI CBS ISS,1563788,31
99,MEKARWANGI,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,3392983,27
100,KAYUAMBON,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW BEAT STREET ESP,3575064,22
101,WANGUNSARI,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,LEXI,4400000,35
102,LANGENSARI,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,7125000,23
103,PAGERWANGI,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CW,3678148,24
104,PAGERWANGI,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NMAX ABS,7001470,23
105,LEBAK GEDE,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,1738454,33
106,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,MX KING 150 GP MVSTR,2700000,35
107,WANGUNSARI,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,ADV 150 CBS,7500000,35
108,SUKAGALIH,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,MIO M3 AKS SSS,2850446,25
109,DAGO,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,NEW VARIO TECHNO FI,2650121,18
110,LEDENG,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,GENIO CBS,3600000,33
111,CISOMANG BARAT,CIKALONG WETAN,KAB. BANDUNG,MOTOR BEKAS,HONDA,NEW CBR 150R STANDAR,6800000,23
112,CIHANJUANG,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI CBS ESP PLUS,3300000,35
113,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,MIO SOUL GT,1725000,23
114,CIBOGO,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,4500000,23
115,SUKAJAYA,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT CW FI,3300000,23
116,SUKAJAYA,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW V-IXION(KS),3400000,35
117,CIKIDANG,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 CON,14900000,23
118,KERTAWANGI,CISARUA,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,7400000,33
119,CILAME,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,HONDA,VARIO 150 ESP SPORTY,6500000,35
120,KAYUAMBON,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CW,6762149,16
121,ISOLA,SUKASARI,KOTA BANDUNG,MOTOR BARU,HONDA,SCOOPY ESP,5729190,19
122,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,NEW SCOOPY PRESTIGE,4250000,23
123,CIKOLE,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,NINJA 250 R,13945972,19
124,LEMBANG,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,VARIO 125 CBS ISS,3653220,27
125,PASTEUR,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,VARIO 125 ESP CBS,4795900,22
126,CIHIDEUNG,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,SUZUKI,SATRIA FU 150,4163102,23
127,PADASUKA,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,7349727,29
128,CIBODAS,LEMBANG,KAB. BANDUNG,MOTOR BARU,HONDA,BEAT CBS FI,4250000,23
129,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,7050000,23
130,SUKARASA,SUKASARI,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2050000,17
131,SUKAGALIH,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CBS,3100000,35
132,JAMBUDIPA,CISARUA,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,4500000,35
133,SARIWANGI,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,3550000,35
134,UTAMA,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,CB VERZA 150,3000000,23
135,SARIJADI,SUKASARI,KOTA BANDUNG,MOTOR BARU,HONDA,NEW BEAT STREET ESP,2700000,22
136,DAGO,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,NEW VARIO TECHNO FI,4800000,23
137,LEDENG,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,HONDA,SCOOPY ESP,7300000,17
138,SUKAGALIH,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI POP CW,2600000,35
139,MELONG,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,CBR 150 R,5000000,35
140,JAYAGIRI,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,LEXI,3200000,33
141,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,PCX150,6000000,35
142,CIPADA,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,1900000,35
143,DAGO,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI CBS ISS,4385360,35
144,PADALARANG,PADALARANG,KAB. BANDUNG,MOTOR BARU,KAWASAKI,D-TRACKER 150 SE,7800000,35
145,CILAME,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,FINO GRANDE 125,1189300,35
146,LEBAK SILIWANGI,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,VARIO110 CBS ISS,3800000,29
147,LANGENSARI,LEMBANG,KAB. BANDUNG,MOTOR BARU,PIAGGIO,VESPA S125 IGET3V IE,8500000,33
148,PASIRHALANG,CISARUA,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 CON,6200000,29
149,KARANGMEKAR,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,KAWASAKI,NINJA 250 ABS FI,15200000,35
150,JAMBUDIPA,CISARUA,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEWVARIOTECHNOCBS FI,2675000,17
151,SARIJADI,SUKASARI,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,LEXI,3900000,35
152,CIGUGUR TENGAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,AEROX 155 VVA S,6000000,35
153,CIHANJUANG,PARONGPONG,KAB. BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3400000,32
154,SAGULING,SAGULING,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3000000,33
155,LEMBANG,LEMBANG,KAB. BANDUNG,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,6000000,29
156,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,SCOOPY ESP,6800000,29
157,MEKARJAYA,CIHAMPELAS,BANDUNG BARAT,MOTOR BARU,PIAGGIO,VESPA S125 IGET3V IE,20000000,21
158,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3000000,35
159,JAYAMEKAR,PADALARANG,KAB. BANDUNG,MOTOR BARU,KAWASAKI,KLX 150 G,5000000,35
160,DAGO,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2700000,35
161,LEBAK GEDE,COBLONG,KOTA BANDUNG,MOTOR BARU,YAMAHA,ALL NEW NMAX 155,4500000,23
162,MELONG,CIMAHI SELATAN,KOTA BANDUNG,MOTOR BEKAS,SUZUKI,SATRIA FU 150,2450000,35
163,SADANG SERANG,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,SCOOPY ESP,3600000,23
164,SETIAMANAH,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BARU,HONDA,SUPRA GTR 150 SPORTY,4900000,23
165,CIGUGUR GIRANG,PARONGPONG,KAB. BANDUNG,MOTOR BARU,KAWASAKI,KLX 150 BF SE EXT,6100000,35
166,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 CON,4700000,29
167,CIWARUGA,PARONGPONG,KAB. BANDUNG,MOTOR BEKAS,KAWASAKI,W175 SE,4300000,35
168,CIPEUNDEUY,CIPEUNDEUY,BANDUNG BARAT,MOTOR BARU,KAWASAKI,D-TRACKER 150 SE,10000000,29
169,LEUWIGAJAH,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2800000,33
170,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,NVARIO 125 ESP CBS,2550000,35
171,DAGO,COBLONG,KOTA BANDUNG,MOTOR BARU,KAWASAKI,D-TRACKER 150 SE,5600000,33
172,HEGARMANAH,CIDADAP,KOTA BANDUNG,MOTOR BARU,HONDA,VARIO 125 ESP CBS,4400000,22
173,CIHIDEUNG,PARONGPONG,KAB. BANDUNG,MOTOR BARU,PIAGGIO,PRIMAVERA S 150 ABS,15000000,21
174,GIRIASIH,BATUJAJAR,BANDUNG BARAT,MOTOR BARU,KAWASAKI,NINJA 250 SL,17500000,35
175,HEGARMANAH,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,HONDA,NEW BEAT STREET ESP,1935000,23
176,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2900000,23
177,LEBAK GEDE,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,6300000,11
178,SARIJADI,SUKASARI,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT CW,1800000,35
179,CITEUREUP,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,NEW SCOOPY RETRO,2200000,35
180,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,AEROX 155 VVA R,4900000,35
181,PASTEUR,SUKAJADI,KOTA BANDUNG,MOTOR BARU,YAMAHA,R25,11000000,35
182,PADASUKA,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,X - RIDE,2000000,35
183,SARIWANGI,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW VARIO CW FI,2400000,35
184,SUKAGALIH,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,MIO SOUL GT,1500000,35
185,CIHANJUANG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,HONDA,NEW REVO FI FIT,2693466,30
186,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,YAMAHA,N-MAX,5378877,28
187,CIHIDEUNG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,YAMAHA,AEROX 155 VVA,3628422,29
188,LAKSANAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CW,3371820,27
189,CIBODAS,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,N-MAX,5378877,28
190,PAGERWANGI,LEMBANG,KAB. BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2986961,26
191,PAGERWANGI,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,3274850,30
192,SUKAGALIH,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,2162440,30
193,CIPEDES,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,1210,35
194,CIHANJUANG,PARONGPONG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CW,2077095,30
195,CIKIDANG,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,3052506,28
196,MEKARJAYA,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,3162795,35
197,CIKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT CW FI,3441771,27
198,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CW,3468888,26
199,PAGERWANGI,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,AEROX 155 VVA,3044865,31
200,PASTEUR,SUKAJADI,KOTA BANDUNG,MOTOR BARU,YAMAHA,N-MAX,5800000,35
201,WANGUNSARI,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,CRF 150 L,7000000,35
202,CIBODAS,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,CBR 150 REPSOL,5500000,29
203,LANGENSARI,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,KLX 150 S,5059839,29
204,PAGERWANGI,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,4610794,24
205,LANGENSARI,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 150 ESP SPORTY,6100000,23
206,JAYAGIRI,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3400000,35
207,PAGERWANGI,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT CW FI,3184960,22
208,CEMPAKAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,KLX 150,5100000,35
209,DAGO,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,NEW VARIO CW FI,1700000,23
210,WANGUNSARI,LEMBANG,KAB. BANDUNG,MOTOR BEKAS,HONDA,NEW BLADE REPSOL,2300000,23
211,GEGER KALONG,SUKASARI,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2800000,35
212,SUKAWARNA,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3000000,23
213,SUKAJAYA,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,MIO M3 125,3200000,23
214,CIPAGANTI,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,NEW PCX 150 ABS,5000000,35
215,JAYAGIRI,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEWVARIOTECHNOCBS FI,3800000,35
216,GUDANGKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,2800000,34
217,CIPAGANTI,COBLONG,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CW,4327535,26
218,CIHANJUANG RAHAYU,PARONGPONG,BANDUNG BARAT,MOTOR BARU,YAMAHA,AEROX 155 VVA,3953754,24
219,SUKABUNGAH,SUKAJADI,KOTA BANDUNG,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,2800000,34
