NO,KELURAHAN,KECAMATAN,KABUPATEN,OBJECT,MERK,JENIS,DP NET,TENOR
9738,CIPAGERAN,CIMAHI UTARA,KOTA CIMAHI,MOTOR BARU,HONDA,BEAT CBS FI,3200000,33
9739,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,VARIO 125 ESP CBS,3300000,33
9740,BUNIJAYA,GUNUNG HALU,BANDUNG BARAT,MOTOR BARU,KAWASAKI,D-TRACKER 150 SE,7000000,35
9741,SARIWANGI,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,4459920,23
9742,SUKAJAYA,LEMBANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 CON,3200000,33
9743,MEKARSARI,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,CBR 150 R,6500000,35
9744,RENDE,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,NINJA 250 ABS FI,22400000,23
9745,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW XSR 155,6300000,35
9746,TAGOGAPU,PADALARANG,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 ABS,5300000,35
9747,GIRIASIH,BATUJAJAR,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT ESP CBS ISS DLX,5000000,32
9748,SUKAWARNA,SUKAJADI,KOTA BANDUNG,MOTOR BARU,YAMAHA,NEW AEROX 155 C ABS,11000000,29
9749,CITAPEN,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW PCX 150 CBS,5000000,17
9750,SUKAGALIH,SUKAJADI,KOTA BANDUNG,MOTOR BARU,YAMAHA,NEW AEROX 155 C,5400000,23
9751,SUKAJAYA,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,SCOOPY ESP,5800000,35
9752,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,PCX150,3060103,31
9753,PADAASIH,CISARUA,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,1168178,34
